#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.visualization.picking.ViewLensShapePickSupport "Tom Nelson"
edu.uci.ics.jung.visualization.PivotingImageShaper "Tom Nelson"
edu.uci.ics.jung.visualization.PluggableRenderContext "UNKNOWN"
edu.uci.ics.jung.visualization.RenderContext "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.BasicEdgeArrowRenderingSupport "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.BasicEdgeLabelRenderer "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.BasicEdgeRenderer "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.BasicRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.BasicVertexLabelRenderer "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.BasicVertexRenderer "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.CenterEdgeArrowRenderingSupport "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.Checkmark "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.DefaultEdgeLabelRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.DefaultVertexLabelRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.EdgeArrowRenderingSupport "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.EdgeLabelRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.GradientVertexRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.Renderer "UNKNOWN"
edu.uci.ics.jung.visualization.renderers.ReshapingEdgeRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.VertexLabelAsShapeRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.renderers.VertexLabelRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.subLayout.GraphCollapser "UNKNOWN"
edu.uci.ics.jung.visualization.subLayout.TreeCollapser "UNKNOWN"
edu.uci.ics.jung.visualization.transform.AbstractLensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.transform.AffineTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.BidirectionalTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.HyperbolicTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.LayoutLensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.transform.LensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.transform.LensTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.MagnifyTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.MutableAffineTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.MutableTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.MutableTransformerDecorator "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.Graphics2DWrapper "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.GraphicsDecorator "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.HyperbolicShapeTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.Intersector "UNKNOWN"
edu.uci.ics.jung.visualization.transform.shape.MagnifyIconGraphics "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.MagnifyImageLensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.MagnifyShapeTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.ShapeFlatnessTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.ShapeTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.TransformingFlatnessGraphics "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.TransformingGraphics "Tom Nelson"
edu.uci.ics.jung.visualization.transform.shape.ViewLensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.util.Animator "Tom Nelson"
edu.uci.ics.jung.visualization.util.ArrowFactory "Joshua O"
edu.uci.ics.jung.visualization.util.Caching "Tom Nelson"
edu.uci.ics.jung.visualization.util.ChangeEventSupport "Tom Nelson"
edu.uci.ics.jung.visualization.util.DefaultChangeEventSupport "Tom Nelson"
edu.uci.ics.jung.visualization.util.GeneralPathAsString "UNKNOWN"
edu.uci.ics.jung.visualization.util.LabelWrapper "Tom Nelson"
edu.uci.ics.jung.visualization.util.PredicatedParallelEdgeIndexFunction "Tom Nelson"
edu.uci.ics.jung.visualization.util.VertexShapeFactory "Joshua O"
edu.uci.ics.jung.visualization.VisualizationImageServer "tom"
edu.uci.ics.jung.visualization.VisualizationModel "Tom Nelson"
edu.uci.ics.jung.visualization.VisualizationServer "tom"
edu.uci.ics.jung.visualization.VisualizationViewer "Joshua O"
edu.uci.ics.jung.visualization3d.control.MouseRotate "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.MouseTranslate "UNKNOWN"
